
🇨🇳｜IPTV专区,#genre#
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?
CCTV15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
CCTV13,http://cctvwbndali.v.myalicdn.com/cctvwbnd/cctv13_2/index.m3u8
风云足球,http://iptva.cn/api/M3u8/Index?id=615&card=99982475359
湖南卫视,http://iptva.cn/api/M3u8/Index?id=616&card=99982475359
浙江卫视,http://iptva.cn/api/M3u8/Index?id=617&card=99982475359
江苏卫视,http://iptva.cn/api/M3u8/Index?id=618&card=99982475359
东方卫视,http://iptva.cn/api/M3u8/Index?id=619&card=99982475359
北京卫视,http://iptva.cn/api/M3u8/Index?id=620&card=99982475359
天津卫视,http://iptva.cn/api/M3u8/Index?id=621&card=99982475359
广东卫视,http://iptva.cn/api/M3u8/Index?id=622&card=99982475359
深圳卫视,http://iptva.cn/api/M3u8/Index?id=623&card=99982475359
东南卫视,http://iptva.cn/api/M3u8/Index?id=624&card=99982475359
山东卫视,http://iptva.cn/api/M3u8/Index?id=625&card=99982475359
河南卫视,http://iptva.cn/api/M3u8/Index?id=626&card=99982475359
河北卫视,http://iptva.cn/api/M3u8/Index?id=627&card=99982475359
安徽卫视,http://iptva.cn/api/M3u8/Index?id=628&card=99982475359
湖北卫视,http://iptva.cn/api/M3u8/Index?id=629&card=99982475359
江西卫视,http://iptva.cn/api/M3u8/Index?id=630&card=99982475359
贵州卫视,http://iptva.cn/api/M3u8/Index?id=631&card=99982475359
重庆卫视,http://iptva.cn/api/M3u8/Index?id=632&card=99982475359
海南卫视,http://iptva.cn/api/M3u8/Index?id=633&card=99982475359
四川卫视,http://iptva.cn/api/M3u8/Index?id=634&card=99982475359
吉林卫视,http://iptva.cn/api/M3u8/Index?id=635&card=99982475359
黑龙江卫视,http://iptva.cn/api/M3u8/Index?id=636&card=99982475359
云南卫视,http://iptva.cn/api/M3u8/Index?id=637&card=99982475359
辽宁卫视,http://iptva.cn/api/M3u8/Index?id=638&card=99982475359
内蒙古卫视,http://iptva.cn/api/M3u8/Index?id=639&card=99982475359
广西卫视,http://iptva.cn/api/M3u8/Index?id=640&card=99982475359
甘肃卫视,http://iptva.cn/api/M3u8/Index?id=641&card=99982475359
陕西卫视,http://iptva.cn/api/M3u8/Index?id=642&card=99982475359
山西卫视,http://iptva.cn/api/M3u8/Index?id=643&card=99982475359
宁夏卫视,http://iptva.cn/api/M3u8/Index?id=644&card=99982475359
青海卫视,http://iptva.cn/api/M3u8/Index?id=645&card=99982475359
新疆卫视,http://iptva.cn/api/M3u8/Index?id=646&card=99982475359
西藏卫视,http://iptva.cn/api/M3u8/Index?id=647&card=99982475359
BTV文艺,http://iptva.cn/api/M3u8/Index?id=958&card=99982475359
BTV科教,http://iptva.cn/api/M3u8/Index?id=960&card=99982475359
BTV影视,http://iptva.cn/api/M3u8/Index?id=962&card=99982475359
BTV财经,http://iptva.cn/api/M3u8/Index?id=964&card=99982475359
BTV体育,http://iptva.cn/api/M3u8/Index?id=966&card=99982475359
BTV生活,http://iptva.cn/api/M3u8/Index?id=968&card=99982475359
BTV青年,http://iptva.cn/api/M3u8/Index?id=970&card=99982475359
BTV新闻,http://iptva.cn/api/M3u8/Index?id=972&card=99982475359
BTV卡酷少儿,http://iptva.cn/api/M3u8/Index?id=974&card=99982475359
上海新闻频道,http://iptva.cn/api/M3u8/Index?id=976&card=99982475359
上海都市频道,http://iptva.cn/api/M3u8/Index?id=978&card=99982475359
上视外语,http://iptva.cn/api/M3u8/Index?id=980&card=99982475359
上海东方影视,http://iptva.cn/api/M3u8/Index?id=981&card=99982475359
上海五星体育,http://iptva.cn/api/M3u8/Index?id=982&card=99982475359
上海第一财经,http://iptva.cn/api/M3u8/Index?id=984&card=99982475359
哈哈炫动,http://iptva.cn/api/M3u8/Index?id=986&card=99982475359
广东综艺,http://iptva.cn/api/M3u8/Index?id=994&card=99982475359
广东新闻,http://iptva.cn/api/M3u8/Index?id=995&card=99982475359
广东影视,http://iptva.cn/api/M3u8/Index?id=996&card=99982475359
广东公共,http://iptva.cn/api/M3u8/Index?id=997&card=99982475359
广东珠江,http://iptva.cn/api/M3u8/Index?id=998&card=99982475359
广东体育,http://iptva.cn/api/M3u8/Index?id=999&card=99982475359
大湾区卫视,http://iptva.cn/api/M3u8/Index?id=1002&card=99982475359
广州,http://iptva.cn/api/M3u8/Index?id=1003&card=99982475359
南国都市,http://iptva.cn/api/M3u8/Index?id=1004&card=99982475359
广州新闻,http://iptva.cn/api/M3u8/Index?id=1005&card=99982475359
福州综合,http://iptva.cn/api/M3u8/Index?id=1006&card=99982475359
福州影视,http://iptva.cn/api/M3u8/Index?id=1007&card=99982475359
福州生活,http://iptva.cn/api/M3u8/Index?id=1008&card=99982475359
福州少儿,http://iptva.cn/api/M3u8/Index?id=1009&card=99982475359
浙江民生休闲,http://iptva.cn/api/M3u8/Index?id=1010&card=99982475359
浙江教科频道,http://iptva.cn/api/M3u8/Index?id=1011&card=99982475359
浙江少儿频道,http://iptva.cn/api/M3u8/Index?id=1012&card=99982475359
浙江新闻,http://iptva.cn/api/M3u8/Index?id=1013&card=99982475359
浙江国际频道,http://iptva.cn/api/M3u8/Index?id=1014&card=99982475359
浙江钱江都市,http://iptva.cn/api/M3u8/Index?id=1015&card=99982475359
浙江经视频道,http://iptva.cn/api/M3u8/Index?id=1016&card=99982475359
留学世界,http://iptva.cn/api/M3u8/Index?id=1017&card=99982475359
新昌新闻综合,http://iptva.cn/api/M3u8/Index?id=1018&card=99982475359
新昌生活频道,http://iptva.cn/api/M3u8/Index?id=1019&card=99982475359
温州新闻,http://iptva.cn/api/M3u8/Index?id=1020&card=99982475359
温州经济,http://iptva.cn/api/M3u8/Index?id=1022&card=99982475359
温州生活,http://iptva.cn/api/M3u8/Index?id=1023&card=99982475359
温州公共,http://iptva.cn/api/M3u8/Index?id=1024&card=99982475359
江苏城市,http://iptva.cn/api/M3u8/Index?id=1025&card=99982475359
江苏综艺,http://iptva.cn/api/M3u8/Index?id=1026&card=99982475359
江苏影视,http://iptva.cn/api/M3u8/Index?id=1027&card=99982475359
江苏公共,http://iptva.cn/api/M3u8/Index?id=1028&card=99982475359
江苏体育,http://iptva.cn/api/M3u8/Index?id=1029&card=99982475359
江苏靓装,http://iptva.cn/api/M3u8/Index?id=1030&card=99982475359
江苏国际,http://iptva.cn/api/M3u8/Index?id=1031&card=99982475359
江苏学习,http://iptva.cn/api/M3u8/Index?id=1032&card=99982475359
江苏教育,http://iptva.cn/api/M3u8/Index?id=1033&card=99982475359
优曼卡通,http://iptva.cn/api/M3u8/Index?id=1034&card=99982475359
苏州新闻综合,http://iptva.cn/api/M3u8/Index?id=1035&card=99982475359
苏州社会经济,http://iptva.cn/api/M3u8/Index?id=1036&card=99982475359
苏州文化生活,http://iptva.cn/api/M3u8/Index?id=1037&card=99982475359
苏州电影娱乐,http://iptva.cn/api/M3u8/Index?id=1038&card=99982475359
苏州生活资讯,http://iptva.cn/api/M3u8/Index?id=1039&card=99982475359
南京新闻综合,http://iptva.cn/api/M3u8/Index?id=1040&card=99982475359
南京教科,http://iptva.cn/api/M3u8/Index?id=1041&card=99982475359
南京生活,http://iptva.cn/api/M3u8/Index?id=1042&card=99982475359
南京娱乐,http://iptva.cn/api/M3u8/Index?id=1043&card=99982475359
南京十八,http://iptva.cn/api/M3u8/Index?id=1044&card=99982475359
南京信息,http://iptva.cn/api/M3u8/Index?id=1045&card=99982475359
河北都市,http://iptva.cn/api/M3u8/Index?id=1046&card=99982475359
河北经济,http://iptva.cn/api/M3u8/Index?id=1047&card=99982475359
河北影视,http://iptva.cn/api/M3u8/Index?id=1048&card=99982475359
河北少儿,http://iptva.cn/api/M3u8/Index?id=1049&card=99982475359
河北公共,http://iptva.cn/api/M3u8/Index?id=1050&card=99982475359
农民频道,http://iptva.cn/api/M3u8/Index?id=1051&card=99982475359
石家庄新闻,http://iptva.cn/api/M3u8/Index?id=1052&card=99982475359
河南新闻,http://iptva.cn/api/M3u8/Index?id=1053&card=99982475359
河南都市,http://iptva.cn/api/M3u8/Index?id=1054&card=99982475359
河南民生,http://iptva.cn/api/M3u8/Index?id=1055&card=99982475359
河南公共,http://iptva.cn/api/M3u8/Index?id=1056&card=99982475359
河南法治,http://iptva.cn/api/M3u8/Index?id=1057&card=99982475359
河南乡村,http://iptva.cn/api/M3u8/Index?id=1058&card=99982475359
河南国际,http://iptva.cn/api/M3u8/Index?id=1059&card=99982475359
河南电视剧,http://iptva.cn/api/M3u8/Index?id=1060&card=99982475359
山东齐鲁,http://iptva.cn/api/M3u8/Index?id=1061&card=99982475359
山东新闻,http://iptva.cn/api/M3u8/Index?id=1062&card=99982475359
山东体育,http://iptva.cn/api/M3u8/Index?id=1063&card=99982475359
山东少儿,http://iptva.cn/api/M3u8/Index?id=1064&card=99982475359
山东综艺,http://iptva.cn/api/M3u8/Index?id=1065&card=99982475359
山东文旅,http://iptva.cn/api/M3u8/Index?id=1066&card=99982475359
山东生活,http://iptva.cn/api/M3u8/Index?id=1067&card=99982475359
山东农科,http://iptva.cn/api/M3u8/Index?id=1068&card=99982475359
济宁综合,http://iptva.cn/api/M3u8/Index?id=1069&card=99982475359
湖北经视,http://iptva.cn/api/M3u8/Index?id=1072&card=99982475359
湖北综合,http://iptva.cn/api/M3u8/Index?id=1073&card=99982475359
湖北公共,http://iptva.cn/api/M3u8/Index?id=1074&card=99982475359
湖北生活,http://iptva.cn/api/M3u8/Index?id=1075&card=99982475359
湖北教育,http://iptva.cn/api/M3u8/Index?id=1076&card=99982475359
湖北垄上,http://iptva.cn/api/M3u8/Index?id=1077&card=99982475359
湖南公共,http://iptva.cn/api/M3u8/Index?id=1078&card=99982475359
湖南国际,http://iptva.cn/api/M3u8/Index?id=1079&card=99982475359
湖南娱乐,http://iptva.cn/api/M3u8/Index?id=1080&card=99982475359
湖南电影,http://iptva.cn/api/M3u8/Index?id=1081&card=99982475359
湖南电视剧,http://iptva.cn/api/M3u8/Index?id=1082&card=99982475359
湖南经视,http://iptva.cn/api/M3u8/Index?id=1083&card=99982475359
湖南都市,http://iptva.cn/api/M3u8/Index?id=1084&card=99982475359
湖南金鹰卡通,http://iptva.cn/api/M3u8/Index?id=1085&card=99982475359
金鹰纪实,http://iptva.cn/api/M3u8/Index?id=1086&card=99982475359
湘潭综合,http://iptva.cn/api/M3u8/Index?id=1087&card=99982475359
湘潭教育,http://iptva.cn/api/M3u8/Index?id=1088&card=99982475359
娄底综合频道,http://iptva.cn/api/M3u8/Index?id=1089&card=99982475359
茶频道,http://iptva.cn/api/M3u8/Index?id=1090&card=99982475359
淮南新闻综合,http://iptva.cn/api/M3u8/Index?id=1091&card=99982475359
淮南公共台,http://iptva.cn/api/M3u8/Index?id=1092&card=99982475359
东至综合台,http://iptva.cn/api/M3u8/Index?id=1093&card=99982475359
东至影视台,http://iptva.cn/api/M3u8/Index?id=1094&card=99982475359
四川影视,http://iptva.cn/api/M3u8/Index?id=1095&card=99982475359
四川新闻,http://iptva.cn/api/M3u8/Index?id=1096&card=99982475359
四川文旅,http://iptva.cn/api/M3u8/Index?id=1097&card=99982475359
四川儿童,http://iptva.cn/api/M3u8/Index?id=1098&card=99982475359
四川经济,http://iptva.cn/api/M3u8/Index?id=1099&card=99982475359
四川乡村,http://iptva.cn/api/M3u8/Index?id=1100&card=99982475359
洪雅新闻综合,http://iptva.cn/api/M3u8/Index?id=1101&card=99982475359
西安新闻,http://iptva.cn/api/M3u8/Index?id=1102&card=99982475359
西安都市,http://iptva.cn/api/M3u8/Index?id=1103&card=99982475359
西安影视,http://iptva.cn/api/M3u8/Index?id=1104&card=99982475359
西安丝路,http://iptva.cn/api/M3u8/Index?id=1105&card=99982475359
西乡融媒,http://iptva.cn/api/M3u8/Index?id=1106&card=99982475359
山西法治,http://iptva.cn/api/M3u8/Index?id=1107&card=99982475359
山西经济,http://iptva.cn/api/M3u8/Index?id=1108&card=99982475359
山西影视,http://iptva.cn/api/M3u8/Index?id=1109&card=99982475359
山西文体,http://iptva.cn/api/M3u8/Index?id=1110&card=99982475359
黄河电视台,http://iptva.cn/api/M3u8/Index?id=1111&card=99982475359
甘肃经济,http://iptva.cn/api/M3u8/Index?id=1112&card=99982475359
甘肃影视,http://iptva.cn/api/M3u8/Index?id=1113&card=99982475359
甘肃公共,http://iptva.cn/api/M3u8/Index?id=1114&card=99982475359
甘肃少儿,http://iptva.cn/api/M3u8/Index?id=1115&card=99982475359
甘肃都市,http://iptva.cn/api/M3u8/Index?id=1116&card=99982475359
兰州新闻综合,http://iptva.cn/api/M3u8/Index?id=10118&card=99982475359
兰州公共,http://iptva.cn/api/M3u8/Index?id=10119&card=99982475359
兰州经济生活,http://iptva.cn/api/M3u8/Index?id=10120&card=99982475359
兰州综艺体育,http://iptva.cn/api/M3u8/Index?id=10121&card=99982475359
天水综合,http://iptva.cn/api/M3u8/Index?id=1117&card=99982475359
天水公共,http://iptva.cn/api/M3u8/Index?id=1118&card=99982475359
昆明新闻综合,http://iptva.cn/api/M3u8/Index?id=1119&card=99982475359
昆明经济生活,http://iptva.cn/api/M3u8/Index?id=1120&card=99982475359
昆明科学教育,http://iptva.cn/api/M3u8/Index?id=1121&card=99982475359
昆明影视综艺,http://iptva.cn/api/M3u8/Index?id=1122&card=99982475359
昆明公共,http://iptva.cn/api/M3u8/Index?id=1123&card=99982475359
文山综合,http://iptva.cn/api/M3u8/Index?id=1124&card=99982475359
文山公共,http://iptva.cn/api/M3u8/Index?id=1125&card=99982475359
西双版纳一,http://iptva.cn/api/M3u8/Index?id=1126&card=99982475359
西双版纳二,http://iptva.cn/api/M3u8/Index?id=1127&card=99982475359
兵团卫视,http://iptva.cn/api/M3u8/Index?id=10110&card=99982475359
重庆新闻,http://iptva.cn/api/M3u8/Index?id=10111&card=99982475359
重庆科教,http://iptva.cn/api/M3u8/Index?id=10112&card=99982475359
三沙卫视,http://iptva.cn/api/M3u8/Index?id=10113&card=99982475359
重庆影视,http://iptva.cn/api/M3u8/Index?id=10114&card=99982475359
重庆文体娱乐,http://iptva.cn/api/M3u8/Index?id=10115&card=99982475359
重庆少儿,http://iptva.cn/api/M3u8/Index?id=10116&card=99982475359
重庆时尚生活,http://iptva.cn/api/M3u8/Index?id=10117&card=99982475359
南宁综合,http://iptva.cn/api/M3u8/Index?id=1135&card=99982475359
南宁都市,http://iptva.cn/api/M3u8/Index?id=1136&card=99982475359
南宁影视,http://iptva.cn/api/M3u8/Index?id=1137&card=99982475359
南宁公共,http://iptva.cn/api/M3u8/Index?id=1138&card=99982475359
宁夏公共,http://iptva.cn/api/M3u8/Index?id=1139&card=99982475359
宁夏经济,http://iptva.cn/api/M3u8/Index?id=1140&card=99982475359
宁夏文旅,http://iptva.cn/api/M3u8/Index?id=1141&card=99982475359
宁夏少儿,http://iptva.cn/api/M3u8/Index?id=1142&card=99982475359
黑龙江新闻法治,http://iptva.cn/api/M3u8/Index?id=1143&card=99982475359
黑龙江公共农业,http://iptva.cn/api/M3u8/Index?id=1144&card=99982475359
黑龙江都市频道,http://iptva.cn/api/M3u8/Index?id=1145&card=99982475359
黑龙江文体频道,http://iptva.cn/api/M3u8/Index?id=1146&card=99982475359
黑龙江影视频道,http://iptva.cn/api/M3u8/Index?id=1147&card=99982475359
黑龙江少儿频道,http://iptva.cn/api/M3u8/Index?id=1148&card=99982475359
哈尔滨新闻综合,http://iptva.cn/api/M3u8/Index?id=1149&card=99982475359
辽宁体育,http://iptva.cn/api/M3u8/Index?id=10124&card=99982475359
辽宁教育,http://iptva.cn/api/M3u8/Index?id=10125&card=99982475359
辽宁经济,http://iptva.cn/api/M3u8/Index?id=10126&card=99982475359
辽宁公共,http://iptva.cn/api/M3u8/Index?id=10127&card=99982475359
辽宁都市,http://iptva.cn/api/M3u8/Index?id=10128&card=99982475359
辽宁北方,http://iptva.cn/api/M3u8/Index?id=10129&card=99982475359
辽宁生活,http://iptva.cn/api/M3u8/Index?id=10130&card=99982475359


🇨🇳｜IPV6专区,#genre#

CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225501/2/index.m3u8
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225500/2/index.m3u8
CCTV3,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225634/2/index.m3u8
CCTV4,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225621/2/index.m3u8
CCTV5,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225633/2/index.m3u8
CCTV5+,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225649/2/index.m3u8
CCTV6,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225632/2/index.m3u8
CCTV7,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225499/2/index.m3u8
CCTV8,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225631/2/index.m3u8
CCTV9,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225626/2/index.m3u8
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225496/2/index.m3u8
CCTV11,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225628/2/index.m3u8
CCTV12,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225495/2/index.m3u8
CCTV13,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225638/2/index.m3u8
CCTV14,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225494/2/index.m3u8
CCTV15,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225641/2/index.m3u8
CCTV16,http://[2409:8087:2001:20:2800:0:df6e:eb18]/ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8
CCTV17,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225907/2/index.m3u8
湖南卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225704/index.m3u8
浙江卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225491/2/index.m3u8
北京卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225600/2/index.m3u8
辽宁卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225601/2/index.m3u8
安徽卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225691/2/index.m3u8
江苏卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225488/2/index.m3u8
东方卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225489/2/index.m3u8
东南卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225585/2/index.m3u8
湖北卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225596/2/index.m3u8
广东卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225701/index.m3u8
广西卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225731/2/index.m3u8
深圳卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225598/2/index.m3u8
四川卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225487/2/index.m3u8
山东卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225484/2/index.m3u8
河南卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225611/2/index.m3u8
河北卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225610/2/index.m3u8
江西卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225492/2/index.m3u8
天津卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225485/2/index.m3u8
重庆卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225612/2/index.m3u8
黑龙江卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225586/2/index.m3u8
吉林卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225680/2/index.m3u8
海南卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225722/2/index.m3u8
云南卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227181/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
贵州卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225483/2/index.m3u8
西藏卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225723/2/index.m3u8
甘肃卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225724/2/index.m3u8
新疆卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225725/2/index.m3u8
宁夏卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225726/2/index.m3u8
青海卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225727/2/index.m3u8
贵州卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225728/2/index.m3u8
陕西卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225729/2/index.m3u8
五星体育,http://[2409:8c3c:1300:806:74::b]/liveplay-kk.rtxapp.com/live/program/live/wxtyhd8m/8000000/mnf.m3u8
4KUHD,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225786/2/index.m3u8
CETV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225917/2/index.m3u8
CETV4,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225937/2/index.m3u8
CNC英文,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225693/2/index.m3u8
CNC中文,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225694/2/index.m3u8
CGTN英语,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225747/2/index.m3u8
CGTN记录,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225645/2/index.m3u8
梨园频道,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225581/2/index.m3u8
金鹰纪实,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225595/2/index.m3u8
江西新闻,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225615/2/index.m3u8
超级综艺,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225620/2/index.m3u8
超级体育,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225622/2/index.m3u8
超级电影,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225623/2/index.m3u8
超级电视剧,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225625/2/index.m3u8
武博世界,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225656/2/index.m3u8
